#station	slug	holder	id	width	height	url
1	potato-eaters	VGM	s0005V1962	7698	5428	https://iiif.micr.io/yzksg/full/max/0/default.jpg
1	potato-eaters-study	VGM	s0135V1962r	7653	5780	https://iiif.micr.io/Dhbla/full/max/0/default.jpg
2	self-portrait-1887	VGM	s0065V1962	11072	13772	https://iiif.micr.io/DbxJG/full/max/0/default.jpg
2	self-portrait-as-a-painter	VGM	s0022V1962	5309	6989	https://iiif.micr.io/qDCTO/full/max/0/default.jpg
2	self-portrait-b	VGM	s0155V1962	5303	7203	https://iiif.micr.io/qsjKi/full/max/0/default.jpg
2	self-portrait-aic-1887	AIC	1954.326	4747	6000	https://commons.wikimedia.org/wiki/Special:FilePath/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg
2	montmartre-moulin-de-la-galette	VGM	s0018V1962	7229	5816	https://iiif.micr.io/VqZcp/full/max/0/default.jpg
2	bank-of-the-seine	VGM	s0077V1962	7569	5194	https://iiif.micr.io/KLBJY/full/max/0/default.jpg
3	the-white-orchard	VGM	s0024V1962	12074	8884	https://iiif.micr.io/lixBA/full/max/0/default.jpg
3	the-pink-peach-tree	VGM	s0025V1962	5336	7192	https://iiif.micr.io/uDGrx/full/max/0/default.jpg
3	orchard-in-blossom	VGM	s0038V1962	7115	5599	https://iiif.micr.io/dqDPV/full/max/0/default.jpg
3	almond-blossom	VGM	s0176V1962	7195	5676	https://iiif.micr.io/rAERt/full/max/0/default.jpg
4	the-harvest	VGM	s0030V1962	11382	9053	https://iiif.micr.io/JklTj/full/max/0/default.jpg
4	the-sower	VGM	s0029V1962	7003	5625	https://iiif.micr.io/PoVJv/full/max/0/default.jpg
4	wheatfield-with-a-reaper	VGM	s0049V1962	12665	10012	https://iiif.micr.io/HDzja/full/max/0/default.jpg
5	the-yellow-house	VGM	s0032V1962	9234	7233	https://iiif.micr.io/NyxcG/full/max/0/default.jpg
5	bedroom-arles-1	VGM	s0047V1962	30000	23803	https://commons.wikimedia.org/wiki/Special:FilePath/Vincent_van_Gogh_-_De_slaapkamer_-_Google_Art_Project.jpg
5	bedroom-arles-3-orsay	ORSAY-C2RMF	RF1959-2	15016	11741	https://commons.wikimedia.org/wiki/Special:FilePath/La_Chambre_%C3%A0_Arles%2C_by_Vincent_van_Gogh%2C_from_C2RMF.jpg
5	sunflowers-vgm	VGM	s0031V1962	6133	8061	https://iiif.micr.io/TZCqF/full/max/0/default.jpg
5	sunflowers-ng-london	NGL	NG3863	4719	6000	https://commons.wikimedia.org/wiki/Special:FilePath/Vincent_van_Gogh_-_Sunflowers_%281888%2C_National_Gallery_London%29.jpg
5	gauguins-chair	VGM	s0048V1962	5578	6978	https://iiif.micr.io/MIOan/full/max/0/default.jpg
5	la-berceuse	VGM-STEDELIJK	A965	4344	5258	https://commons.wikimedia.org/wiki/Special:FilePath/Amsterdam_-_Stedelijk_Museum_-_Vincent_Van_Gogh_%281853-1890%29_-_Augustine_Roulin_%28La_Berceuse%29_%28A965%29_1889.jpg
6	cafe-terrace-at-night	KMM	KM108.565	6415	8000	https://commons.wikimedia.org/wiki/Special:FilePath/Van_Gogh_-_Terrace_of_a_Caf%C3%A9_at_Night_%28Place_du_Forum%29_1888.jpg
6	the-night-cafe	YALE	1961.18.34	7408	5848	https://commons.wikimedia.org/wiki/Special:FilePath/Le_caf%C3%A9_de_nuit_%28The_Night_Caf%C3%A9%29_by_Vincent_van_Gogh.jpeg
